UCSD	BI	UCSF-UBC	UW	FEMALE	MALE	UNKNOWN	SOLID_LIQUID	TYPE
E089	0	0	0	1	1	0	0	NONE	PRIMARYTISSUE
E090	0	0	0	1	1	0	0	NONE	PRIMARYTISSUE
E083	0	1	0	0	0.5	0.5	0	SOLID	PRIMARYTISSUE
E104	1	0	0	0	0	1	0	SOLID	PRIMARYTISSUE
E095	1	0	0	0	0	1	0	SOLID	PRIMARYTISSUE
E105	1	0	0	0	0	1	0	SOLID	PRIMARYTISSUE
E065	1	0	0	0	0	1	0	SOLID	PRIMARYTISSUE
E078	0	1	0	0	0	1	0	SOLID	PRIMARYTISSUE
E076	0	1	0	0	1	0	0	SOLID	PRIMARYTISSUE
E103	0	1	0	0	1	0	0	SOLID	PRIMARYTISSUE
E111	0	1	0	0	1	0	0	SOLID	PRIMARYTISSUE
E092	0	0	0	1	1	0	0	NONE	PRIMARYTISSUE
E085	0	0	0	1	0	1	0	NONE	PRIMARYTISSUE
E084	0	0	0	1	0	1	0	NONE	PRIMARYTISSUE
E109	1	0	0	0	0	1	0	SOLID	PRIMARYTISSUE
E106	1	0	0	0	0	1	0	SOLID	PRIMARYTISSUE
E075	0	1	0	0	1	0	0	SOLID	PRIMARYTISSUE
E101	0	1	0	0	1	0	0	SOLID	PRIMARYTISSUE
E102	0	1	0	0	1	0	0	SOLID	PRIMARYTISSUE
E110	0	1	0	0	0	1	0	SOLID	PRIMARYTISSUE
E077	0	1	0	0	0	1	0	SOLID	PRIMARYTISSUE
E079	1	0	0	0	0	1	0	SOLID	PRIMARYTISSUE
E094	1	0	0	0	0	1	0	SOLID	PRIMARYTISSUE
E099	0	0	1	0	0	1	0	SOLID	PRIMARYTISSUE
E086	0	1	0	0	0	0	1	SOLID	PRIMARYTISSUE
E088	0	1	0	0	0	0	0	NONE	PRIMARYTISSUE
E097	1	0	0	0	1	0	0	SOLID	PRIMARYTISSUE
E087	0	0.5	0.5	0	0	1	0	SOLID	PRIMARYTISSUE
E080	0	0	0	1	0	1	0	NONE	PRIMARYTISSUE
E091	0	0	0	1	1	0	0	NONE	PRIMARYTISSUE
E066	0	1	0	0	0.5	0.5	0	SOLID	PRIMARYTISSUE
E098	1	0	0	0	0	1	0	SOLID	PRIMARYTISSUE
E096	1	0	0	0	1	0	0	SOLID	PRIMARYTISSUE
E113	1	0	0	0	0	1	0	SOLID	PRIMARYTISSUE
E114	0	1	0	0	0	1	0	NONE	CELLLINE
E115	0	1	0	0	0	1	0	NONE	CELLLINE
